movie_id,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,director,stars
97499,Henry V,1989.0,7.5,28054,2061.2,14,221,69,9000000.0,10161099,458,6.171821280285005
4581576,Aftermath,2017.0,5.6,21848,992.8,195,222,137,10500000.0,840809,226,6.163558284864592
980976,Cristóvão Colombo - O Enigma,2007.0,5.6,383,694.0,169,112,127,2000000.0,133250,514,6.131279821837773
1588358,Hermano,2010.0,7.3,2456,2185.4,164,227,203,427.0,1609112,519,6.149914317127752
1314659,Da xi shi,2009.0,5.4,109,934.8,138,180,102,1000000.0,1949614,223,6.17170697460379
285487,Crazy as Hell,2002.0,6.0,993,1433.0,195,224,64,1800000.0,21679,236,6.156868730996864
314412,My Life Without Me,2003.0,7.5,24105,1680.0,188,55,64,2434796.0,9781854,314,6.156623974858008
6283474,Toman,2018.0,6.5,311,1733.8,94,79,48,2180359.0,636170,616,6.15378837017722
215850,Hochelaga,2000.0,7.0,484,2305.2,143,41,147,781085.0,376714,566,6.166182335074487
181689,Minority Report,2002.0,7.6,504613,2689.4,24,224,134,102000000.0,358372926,772,6.167889897965805
357585,Decoys,2004.0,4.6,4518,511.0,214,41,64,5000000.0,84733,543,6.157151857096933
6559390,L'apparition,2018.0,6.3,1260,1492.0,158,26,71,10834842.0,3562793,860,6.150904670122001
1291150,Teenage Mutant Ninja Turtles,2014.0,5.8,200060,1242.2,3,224,115,125000000.0,485004754,412,6.161137925840853
3678192,Häiriötekijä,2015.0,6.8,778,1740.6,99,99,144,1095658.0,237906,25,6.1614562239968
250223,Astérix & Obélix: Mission Cléopâtre,2002.0,6.6,48644,1798.2,57,105,7,60686949.0,128027976,18,6.155006134015358
93239,I've Heard the Mermaids Singing,1987.0,6.7,1393,1851.2,110,41,64,282752.0,1408491,625,6.158621086217915
89572,The Mean Season,1985.0,6.1,3653,1142.4,152,224,64,7000000.0,4349446,654,6.170325087490865
2268016,Magic Mike XXL,2015.0,5.6,51958,1142.8,114,224,64,14800000.0,117813057,288,6.16257926877214
