tconst,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,runtime,director,stars
tt2854926,Tag,2018.0,6.5,"112,145","Childhood friends Jerry (Jeremy Renner), Callahan (Jon Hamm), Randy (Jake Johnson), Sable (Hannibal Buress) and Hoagie (Ed Helms) have been competing in the same game of tag for 30 years. When Jerry gets married, he attempts to retire from the intense annual game without ever being ""it,"" causing the other four to band together and go to extreme lengths to finally tag him. Directed by Jeff Tomsic. Inspired by the Wall Street Journal article ""It Takes Planning, Caution to Avoid Being It.""","Action,Comedy",USA,"English,Spanish","$28,000,000","$78,130,625",1h 40min,Jeff Tomsic,"Ed Helms,Jake Johnson,Jeremy Renner"
tt1436559,"Love, Wedding, Marriage",2011.0,4.9,"8,965","Handsome, romantic, sexy gentile Charlie enjoys his honeymoon with liberal-Jewish marriage counselor Ava. It's cut short when her parents Bradley and Betty, who always seemed the perfect couple, suddenly border on divorce over an old affair and poorly matched expectations. Worse, in turn they invite themselves to move in and drive the newly-weds crazy. Ethics prevent Ava from taking them on as clients and the colleagues she refers to prove hopelessly inept. Meanwhile Charlie's impulsive buddy Gerber, the eternal bachelor party animal, has married Polish green-card-chaser Kasia.",Comedy,USA,English,"$12,000,000","$515,823",1h 30min,Dermot Mulroney,"James Brolin,Kellan Lutz,Mandy Moore"
tt1303828,Defendor,2009.0,6.8,"35,412","A crooked cop, a mob boss and the young girl they abuse are the denizens of a city's criminal underworld. It's a world that ordinary Arthur Poppington doesn't understand and doesn't belong in, but is committed to fighting when he changes into a vigilante super-hero of his own making, Defendor. With no power other than courage Defendor takes to the streets to protect the city's innocents.","Comedy,Crime,Drama","Canada,UK,USA","English,Russian","$3,500,000","$44,462",1h 41min,Peter Stebbings,"Kat Dennings,Sandra Oh,Woody Harrelson"
tt1239290,Kvinden der drømte om en mand,2010.0,5.0,819,"Karen is a successful Copenhagen-based fashion photographer who is happily married to Johan, a writer. But she works so constantly that she has little time for her husband and daughter. In her dreams, however, she has erotic encounters with an unknown man in an East European hotel room. At a photoshoot in Paris one day, she meets the stranger from her dreams for real: Maciek, a professor at Warsaw School of Economics and visiting from Poland. She feels an electric attraction that changes her life and begins an affair. She pursues him relentlessly. Her obsession increasingly causes her to lose control.","Drama,Romance","Denmark,France,Norway,Poland,Sweden","Danish,English,French,Polish,Swedish","$4,000,000","$284,818",1h 40min,Per Fly,"Marcin Dorocinski,Michael Nyqvist,Sonja Richter"
tt1661820,Cut Bank,2014.0,6.1,"11,141","Dwayne McClaren has been looking for a way out of his small town upbringing of CUT BANK, MT since he graduated high school several years earlier. When he finds himself in the wrong place at the right time, he jumps at a chance to pursue a better life in a bigger city with his girlfriend Cassandra. But luck doesn't exist in Cut Bank, and this perceived good fortune is quickly followed by a flood of bad karma.","Crime,Drama,Thriller",USA,English,"$5,000,000","$288,591",1h 33min,Matt Shakman,"Bruce Dern,John Malkovich,Michael Stuhlbarg"
tt0112740,Crimson Tide,1995.0,7.3,"100,936","When some Russian rebels take control of some ICBM's, the Americans mobilize. Among the vessels sent is the nuclear sub, USS Alabama. But before they leave they need a new X.O. and among the choices is Commander Hunter, who hasn't seen much action. But the ship's Captain, Ramsey, OK's him. While on the way, there was an incident and Hunter disagreed with how Ramsey handled it. It's evident that Ramsey doesn't think much of Hunter because Hunter was college educated while Ramsey worked his way up. They're given orders to attack but when they were in the process of receiving another order, the ship's communications were damaged, so the entire message was not received. Ramsey decides to continue with their previous order while Hunter wants to reestablish contact first. That's when the two men butt heads that ends with Hunter relieving Ramsey. Later when some men die, some of the officers feel that Hunter is not up to the task so they team up to retake control. But Hunter has taken ...","Action,Drama,Thriller",USA,English,"$53,000,000","$157,387,195",1h 56min,Tony Scott,"Denzel Washington,Gene Hackman,Matt Craven"
tt0970411,City of Ember,2008.0,6.5,"62,553","When mankind is about to come to an end, a group of scientists decide to create and populate a city deep underground. The City of Ember is to last for two hundred years, after which its inhabitants are to retrieve from a strong box instructions to return to the surface. Over time, however, the message is lost and life in Ember is rapidly deteriorating. Their power supply is failing and food is being rationed. It's left to two young teens to unearth the secret of Ember and to lead the way out.","Adventure,Family,Fantasy",USA,English,"$55,000,000","$17,929,684",1h 30min,Gil Kenan,"Bill Murray,Saoirse Ronan,Toby Jones"
tt2357461,Miele,2013.0,6.7,"1,857","Irene, nicknamed 'Honey', has devoted herself to people looking for help, and tries to alleviate their suffering, even when they make extreme decisions. One day she has to cope with Grimaldi and his invisible malaise.",Drama,"France,Italy",Italian,"EUR1,650,000","$935,304",1h 36min,Valeria Golino,"Carlo Cecchi,Jasmine Trinca,Libero De Rienzo"
tt6397530,Malapata,2017.0,5.7,440,Two friends who win the lottery have the worst day of their lives with constant bad luck and unexpected turn of events.,"Comedy,Mystery",Portugal,Portuguese,"EUR25,000","$93,039",1h 23min,Diogo Morgado,"Helder Agapito,Luciana Abreu,René Barbosa"
tt0114296,Roommates,1995.0,6.4,"1,733","Michael Holeczak has a most unusual roommate, his grandfather, Rocky. Now Rocky's a bit strange but loves Michael and only has his best interest. Michael would live with Rocky after his parents died. Michael would grow up go to school, become a doctor, Rocky would live alone abut when Rocky's about to be thrown out and placed in a retirement home, he refuses. Michael then takes him in. They would stay together even when Michael got married and had a family. And Rocky would always be there for Michael and Michael for him.","Comedy,Drama",USA,English,"$22,000,000","$12,096,881",1h 48min,Peter Yates,"D.B. Sweeney,Julianne Moore,Peter Falk"
tt1433810,Dhobi Ghat,2010.0,7.0,"12,376","The lives of 4 different people in the city of Mumbai get entwined by fate and luck; Shai - an investment banker with a penchant for photography, Arun - a lonely painter, Munna - the ""dhobi"" who aspires to become an actor and Yasmin - making a video in her camcorder for her brother, who hasn't been to Mumbai before. The film follows how their lives are changed by the presence of one another. Will it be for better or for worse?",Drama,India,"English,Hindi","INR102,000,000","$3,082,958",1h 40min,Kiran Rao,"Kriti Malhotra,Monica Dogra,Prateik"
